Frequentie;Land;Zender;Locatie;Afstand tot Zundert
107.8;BEL;Ajoin Music;Aalst/Stedelijk Ziekenhuis (vlg-ovl);74km
107.8;HOL;Radio Schouwen-Duiveland;Renesse/Silo Krijger Molenaars (zee);69km
107.9;BEL;Radio Nova;Kalmthout (vlg-ant);16km
107.9;BEL;Radio Eagle;Arendonk (vlg-ant);34km
107.9;BEL;Radio Land van Waas;Sint-Niklaas/Plezantstraat 264 (vlg-ovl);50km
107.9;BEL;Komilfoo FM;Begijnendijk/Moorsemsestraat (vlg-vbr);52km
107.9;BEL;Stadsradio Vlaanderen;Bruxelles=Brussel/Royal Building (Tour Albert=Alberttoren) (bru);75km
107.9;HOL;Mfm Brabant;Lith/Valkseweg (nbr);65km
107.9;BEL;Radio Demerstad;Halen/Grote Baan (vlg-lim);66km
107.9;BEL;Yolo Radio;Kinrooi/Heikemp 1121 (vlg-lim);80km
107.9;BEL;Radio Aktief Gold (via Radio Tamboer);Sint-Laureins (vlg-ovl);83km
